parent;pagetitle;content1;content2;price;picture;picture-big;brand;
39;Мультиварка SUPRA MCS-4501;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/multivarki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Высота:</span> 34.8 см</li>                        <li class="tec-char"><span>Глубина:</span> 27.5 см</li>                        <li class="tec-char"><span>Ширина:</span> 25 см</li>                        <li class="tec-char"><span>Максимальный вес выпечки:</span> 900 г</li>                        <li class="tec-char"><span>Объем:</span> 5 л</li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 670 Вт</li>                        <li class="tec-char"><span>Тип:</span> мультиварка </li>                        <li class="tec-char"><span>Максимальное время установки таймера:</span> 11 ч</li>                        <li class="tec-char"><span>Отложенный старт:</span> Есть </li>                        <li class="tec-char"><span>Поддержание тепла:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>34.8см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>27.5см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>25см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>3.4кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Максимальный вес выпечки:</td><td>900г</td></tr>						<tr><td class="tthlbl">Объем:</td><td>5л</td></tr>						<tr><td class="tthlbl">Приготовление на пару:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выпечка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Каша:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Крупа:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>670Вт</td></tr>						<tr><td class="tthlbl">Тип:</td><td>мультиварка</td></tr>						<tr><td class="tthlbl">Тушение:</td><td>Есть</td></tr>						<tr><th colspan="2">Управление и программы</th></tr>						<tr><td class="tthlbl">Количество автоматических программ:</td><td>7</td></tr>						<tr><td class="tthlbl">Максимальное время установки таймера:</td><td>11ч</td></tr>						<tr><td class="tthlbl">Особенности:</td><td>максимальный вес выпечки 900 г аксессуары: лопатка, мерная ложка, мерный стакан, держатель для лопатки, шнур питания, поднос для приготовления на парум</td></tr>						<tr><td class="tthlbl">Отложенный старт:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Поддержание тепла:</td><td>Есть</td></tr>					</table>;1679;assets/images/kuhonnaya-technika/multivarki/Multivarka-SUPRA-MCS-4501_STIyNjgzN1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/multivarki/Multivarka-SUPRA-MCS-4501_STIyNjgzN1Rp.jpg;SUPRA;
39;Кастрюля MORPHY RICHARDS 48730;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/multivarki?mfr=1448">MORPHY RICHARDS</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1764;assets/images/kuhonnaya-technika/multivarki/Kastryulya-MORPHY-RICHARDS-48730_STU1ODI0VHRMMTgw.jpg;assets/images/kuhonnaya-technika/multivarki/Kastryulya-MORPHY-RICHARDS-48730_STU1ODI0VGk.jpg;MORPHY RICHARDS;
39;Кастрюля MORPHY RICHARDS 48730;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/multivarki?mfr=1448">MORPHY RICHARDS</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1764;assets/images/kuhonnaya-technika/multivarki/Kastryulya-MORPHY-RICHARDS-48730_STU1ODI0VHRMMTgw.jpg;assets/images/kuhonnaya-technika/multivarki/Kastryulya-MORPHY-RICHARDS-48730_STU1ODI0VGk.jpg;MORPHY RICHARDS;
39;Мультиварка VES SK-A12;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/multivarki?mfr=2295">VES</a> </li>                        <li class="tec-char"><span>Объем:</span> 5 л</li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 700 Вт</li>                        <li class="tec-char"><span>Тип:</span> мультиварка </li>                        <li class="tec-char"><span>Максимальное время установки таймера:</span> 24 ч</li>                        <li class="tec-char"><span>Отложенный старт:</span> Есть </li>                        <li class="tec-char"><span>Поддержание тепла:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Объем:</td><td>5л</td></tr>						<tr><td class="tthlbl">Приготовление на пару:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выпечка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Каша:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Крупа:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>700Вт</td></tr>						<tr><td class="tthlbl">Тип:</td><td>мультиварка</td></tr>						<tr><td class="tthlbl">Тушение:</td><td>Есть</td></tr>						<tr><th colspan="2">Управление и программы</th></tr>						<tr><td class="tthlbl">Максимальное время установки таймера:</td><td>24ч</td></tr>						<tr><td class="tthlbl">Особенности:</td><td>5 аксессуаров: стимер, ложка, половник, мерный стаканчик, съемный шнур питания отсрочка времени приготовления на 15 ч. 55 мин. установка времени приготовления до 99 мин подогрев до 24 часов максим</td></tr>						<tr><td class="tthlbl">Отложенный старт:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Поддержание тепла:</td><td>Есть</td></tr>					</table>;2149;assets/images/kuhonnaya-technika/multivarki/Multivarka-VES-SK-A12_STE0OTk0M1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/multivarki/Multivarka-VES-SK-A12_STE0OTk0M1Rp.jpg;VES;
39;Медленноварка KENWOOD CP658;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/multivarki?mfr=1161">KENWOOD</a> </li>                        <li class="tec-char"><span>Объем:</span> 6.5 л</li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Материал корпуса:</span> нерж. сталь </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 2000 Вт</li>                        <li class="tec-char"><span>Тип:</span> медленноварка </li>                        <li class="tec-char"><span>Отложенный старт:</span> Нет </li>                        <li class="tec-char"><span>Поддержание тепла:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>6.19кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Объем:</td><td>6.5л</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Программы</th></tr>						<tr><td class="tthlbl">Варенье:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>2000Вт</td></tr>						<tr><td class="tthlbl">Тип:</td><td>медленноварка</td></tr>						<tr><td class="tthlbl">Тушение:</td><td>Есть</td></tr>						<tr><th colspan="2">Управление и программы</th></tr>						<tr><td class="tthlbl">Отложенный старт:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Поддержание тепла:</td><td>Есть</td></tr>					</table>;2209;assets/images/kuhonnaya-technika/multivarki/Medlennovarka-KENWOOD-CP658_STIzNzUwOFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/multivarki/Medlennovarka-KENWOOD-CP658_STIzNzUwOFRp.jpg;KENWOOD;
39;Мультиварка REDMOND RMC-M4505;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/multivarki?mfr=2758">REDMOND</a> </li>                        <li class="tec-char"><span>Объем:</span> 3 л</li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Материал корпуса:</span> металл/пластик </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Количество программ выпечки:</span> 10 </li>                        <li class="tec-char"><span>Мощность:</span> 500 Вт</li>                        <li class="tec-char"><span>Тип:</span> мультиварка </li>                        <li class="tec-char"><span>Максимальное время установки таймера:</span> 24 ч</li>                        <li class="tec-char"><span>Отложенный старт:</span> Есть </li>                        <li class="tec-char"><span>Поддержание тепла:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.5кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Объем:</td><td>3л</td></tr>						<tr><td class="tthlbl">Поддержание температуры:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Приготовление на пару:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>металл/пластик</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Программы</th></tr>						<tr><td class="tthlbl">Количество программ выпечки:</td><td>10</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выпечка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Каша:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Крупа:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>500Вт</td></tr>						<tr><td class="tthlbl">Тип:</td><td>мультиварка</td></tr>						<tr><td class="tthlbl">Тушение:</td><td>Есть</td></tr>						<tr><th colspan="2">Управление и программы</th></tr>						<tr><td class="tthlbl">Количество автоматических программ:</td><td>10</td></tr>						<tr><td class="tthlbl">Максимальное время установки таймера:</td><td>24ч</td></tr>						<tr><td class="tthlbl">Отложенный старт:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Поддержание тепла:</td><td>Есть</td></tr>					</table>;2390;assets/images/kuhonnaya-technika/multivarki/Multivarka-REDMOND-RMC-M4505_STI1MDg1MlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/multivarki/Multivarka-REDMOND-RMC-M4505_STI1MDg1MlRp.jpg;REDMOND;
39;Мультиварка VES SK-A14;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/multivarki?mfr=2295">VES</a> </li>                        <li class="tec-char"><span>Высота:</span> 30 см</li>                        <li class="tec-char"><span>Глубина:</span> 30 см</li>                        <li class="tec-char"><span>Ширина:</span> 28 см</li>                        <li class="tec-char"><span>Объем:</span> 6 л</li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 900 Вт</li>                        <li class="tec-char"><span>Тип:</span> мультиварка </li>                        <li class="tec-char"><span>Максимальное время установки таймера:</span> 24 ч</li>                        <li class="tec-char"><span>Отложенный старт:</span> Есть </li>                        <li class="tec-char"><span>Поддержание тепла:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>30см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>30см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>28см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>4кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Объем:</td><td>6л</td></tr>						<tr><td class="tthlbl">Приготовление на пару:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выпечка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Каша:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Крупа:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>900Вт</td></tr>						<tr><td class="tthlbl">Тип:</td><td>мультиварка</td></tr>						<tr><td class="tthlbl">Тушение:</td><td>Есть</td></tr>						<tr><th colspan="2">Управление и программы</th></tr>						<tr><td class="tthlbl">Количество автоматических программ:</td><td>4</td></tr>						<tr><td class="tthlbl">Максимальное время установки таймера:</td><td>24ч</td></tr>						<tr><td class="tthlbl">Особенности:</td><td>5 аксессуаров: стимер, ложка, половник, мерный стаканчик, съемный шнур питания отсрочка времени приготовления на 15 ч. 55 мин. установка времени приготовления до 99 мин подогрев до 24 часов максим</td></tr>						<tr><td class="tthlbl">Отложенный старт:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Поддержание тепла:</td><td>Есть</td></tr>					</table>;2449;assets/images/kuhonnaya-technika/multivarki/Multivarka-VES-SK-A14_STE0OTkyMFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/multivarki/Multivarka-VES-SK-A14_STE0OTkyMFRp.jpg;VES;
39;Мультиварка SUPRA MCS-4511;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/multivarki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Высота:</span> 24.5 см</li>                        <li class="tec-char"><span>Глубина:</span> 26.5 см</li>                        <li class="tec-char"><span>Ширина:</span> 37 см</li>                        <li class="tec-char"><span>Максимальный вес выпечки:</span> 900 г</li>                        <li class="tec-char"><span>Объем:</span> 5 л</li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 670 Вт</li>                        <li class="tec-char"><span>Тип:</span> мультиварка </li>                        <li class="tec-char"><span>Максимальное время установки таймера:</span> 12 ч</li>                        <li class="tec-char"><span>Отложенный старт:</span> Есть </li>                        <li class="tec-char"><span>Поддержание тепла:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>24.5см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>26.5см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>37см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>3.9кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Максимальный вес выпечки:</td><td>900г</td></tr>						<tr><td class="tthlbl">Объем:</td><td>5л</td></tr>						<tr><td class="tthlbl">Приготовление на пару:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выпечка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>670Вт</td></tr>						<tr><td class="tthlbl">Тип:</td><td>мультиварка</td></tr>						<tr><td class="tthlbl">Тушение:</td><td>Есть</td></tr>						<tr><th colspan="2">Управление и программы</th></tr>						<tr><td class="tthlbl">Количество автоматических программ:</td><td>8</td></tr>						<tr><td class="tthlbl">Максимальное время установки таймера:</td><td>12ч</td></tr>						<tr><td class="tthlbl">Особенности:</td><td>аксессуары: держатель для лопатки, мерная ложка, мерный стакан, лопатка, шнур питаниям</td></tr>						<tr><td class="tthlbl">Отложенный старт:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Поддержание тепла:</td><td>Есть</td></tr>					</table>;2674;assets/images/kuhonnaya-technika/multivarki/Multivarka-SUPRA-MCS-4511_STIyNjgzOFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/multivarki/Multivarka-SUPRA-MCS-4511_STIyNjgzOFRp.jpg;SUPRA;
